id,human_readable_id,community,level,parent,children,title,entity_ids,relationship_ids,text_unit_ids,period,size
99e21798-ff12-47d9-80cd-bbc49cfe45bf,0,0,0,-1,[],Community 0,"['ea50cbd9-107c-40c4-8d00-040a98c567c8'
 '188f3014-b352-43a1-bf26-2121701dbd23'
 '698eeab7-4c16-4153-8421-7297d37bbef5'
 'b0d93564-afcf-42ef-ba30-fd1921ab5638'
 'c285e1c5-be79-4204-b83a-10cbaa69a685'
 '9526646b-f46a-4bfb-a4be-ba5b3d736295'
 '70efb1f3-4e22-4300-ac61-a1dc823d69eb'
 '3cff388c-9196-4992-9c4f-9b1f257429f8'
 'eab6bc42-aa8d-4156-9ae9-235dadeaf0a7'
 '4fc23db1-7a3f-414c-ad70-2d58586b34ee'
 '16fc06a9-7c66-49f4-a09c-762fb46ce71b'
 '2ebd8351-1271-451e-90b7-ff9783043ecc'
 '20eff45d-9874-4f76-ae68-9682bb4a274c']","['0332107c-afae-4e68-8a5d-0451dc867c0d'
 '098e5046-846d-4684-aedc-6cbc08520022'
 '0ed47238-1e99-45b9-a3ba-2e01c5ad8dd4'
 '2f61924c-63d3-461d-8d06-1c38015d51e7'
 '323fa1a6-b367-4ca5-b1db-aaf234a95d12'
 '372ef542-e751-47fc-bf16-9cb6f4bf5475'
 '467a1890-08b2-4a13-8d02-1795654364a2'
 '51db2130-780b-4684-93b6-6b21c55156bb'
 '581a78fc-640f-42b3-8359-43aad60c0965'
 '5be43a04-16b7-415f-874a-f0f519499d8d'
 '5d5abefc-f709-4e16-b407-545c929d3a56'
 '671b5523-3610-4f15-8e11-8ec04eb06932'
 '917cff29-9ef5-4697-9502-beb2e6c60bae'
 '9fe671a9-52e4-4a1a-8cf5-bfd6910bbf23'
 'c3cf779b-e201-41bd-8d05-769e6ba8b41f'
 'cfd1954a-680e-467b-ae43-71a4e6af4a93'
 'd9c28d5d-e87a-4652-a292-f18787f8544a'
 'e0e2f2fc-979f-4290-a4c3-b8d21472b669'
 'f8b906e7-99fb-4243-b09a-c1a36dd98aaf']","['3f1201cf8acd113a3f95f9bf1fcbcf52b2419e1fd24478ada6f84259ebab3a3cb73eb8cc9c82f34912dc92f1583450302cb793c06cdaaec6264eaa8aa2b51f90'
 '6080da6318db19acb1b01c7aa07287d2021f2deaee82707c9a061f6ebb463bc18786725b2733fee119626f91580bc12bfc1308beb8fcb3b87f9c9f260a2ea5d6'
 '71c87aca16b762ffc4deee532606a3e3b7790db340892ec2eed4b5c78c34a6b2b65e6b5600664d3d7c6bbc518fa48bfeb6ab6b653826d10f97c7ff1ef1c903ed'
 'd45d9c09a839c13b666c0cbca19cd91ab417654db3d7bc479620ef11eaf46c247db219286d76dec4f5fc8b1d271cc3792f7d328a25b41ac42a1e660219674084'
 'e1e6208d3632cc5fd3ef97e02ac9745cbbb1c71f2dfb02f96212ede72d356ba427fd7635d190d36b72723bc6004ff99d967abe2c19d1d7bd4ab9ea07c18c80f9'
 'f2707ebde367944271b5fe410e033346fa7aa07bf22370c525eab33d42918733bfabd2e502eb74d2d41768dce676b5ed489cdc17707c881ff5c32114a838f796']",2026-04-10,13
d04d9171-bf75-4168-969a-b4caa3609c5e,1,1,0,-1,[],Community 1,"['f2df24b9-add8-4b9c-9dc9-51a1fadda334'
 '7b751c57-cee7-450d-b21f-bdfcdad8bdfd'
 'ea839d9f-be4a-46b4-9cc1-8c83e8e75391'
 '5eb7b3dd-02a1-4f2f-8e5d-a77b255c1804'
 'df347a8b-fe2f-45f9-b335-9a53e53a8b16'
 '9a07f251-2b10-4a89-97ee-ae00a060ee94'
 '8faae956-80b2-4fd6-a73a-545d3375b57a'
 '744bbf4a-d057-4ca0-951f-74a551ce2962'
 '5d1d977d-f4cc-4405-a4b8-003520519800'
 '33e56d36-b7c2-4062-a267-c896e4d20cbb'
 'efe87ff6-d1f3-43c7-b103-754065032a66']","['1a31d9c6-e5d7-4ff5-a5b3-3d4a8c5f16b5'
 '451ef777-2c5f-4bb6-9f87-6c1a1367f366'
 '46d04a93-d648-4c32-aeb8-9654775e5c01'
 '49abbb6a-8801-42f7-b81e-2b35105b04e7'
 '622ab02f-1ab2-4621-bc26-692cc46642f5'
 '6861d294-32a9-45b6-a2e1-408a62b2bf26'
 '6a7937fe-89ae-4c93-80a4-dae3cc4b2c4e'
 '9514bbf1-0bd3-41c5-9e9e-6176b474674f'
 'a2f3b002-0fce-4b2a-b1ef-803c666e2c8e'
 'ce472815-ca71-4a57-a5ec-86697c726898'
 'f7292fc7-c569-4a26-bf03-d38aa24c8667']","['099e48ab87d75239d388a1fb13a0dad87648f0371119f0a8cd5b482cd71f98698c7c4c4dabdd3543e5ca3d34fadd44bcac92212ff374398a40fac1eaf512127f'
 '2db1deb8c006563858d52216b0234f6fc1a5f276e7a4050cd1c206a765975c9a9ed62d82b2bb5b34d535e9d6b8b1f95aa54e584ff8aa328ee1305e32fa7ec1db'
 '3f1201cf8acd113a3f95f9bf1fcbcf52b2419e1fd24478ada6f84259ebab3a3cb73eb8cc9c82f34912dc92f1583450302cb793c06cdaaec6264eaa8aa2b51f90'
 '71c87aca16b762ffc4deee532606a3e3b7790db340892ec2eed4b5c78c34a6b2b65e6b5600664d3d7c6bbc518fa48bfeb6ab6b653826d10f97c7ff1ef1c903ed'
 'a6767e76d4e5bc6ba7c835c723b3b5e7a5045170bfa2d1237f52eb0136f182088317c7b928288da1af9518dc10f8d005418399360ef1012911e9d07e28631e38'
 'd45d9c09a839c13b666c0cbca19cd91ab417654db3d7bc479620ef11eaf46c247db219286d76dec4f5fc8b1d271cc3792f7d328a25b41ac42a1e660219674084'
 'e1e6208d3632cc5fd3ef97e02ac9745cbbb1c71f2dfb02f96212ede72d356ba427fd7635d190d36b72723bc6004ff99d967abe2c19d1d7bd4ab9ea07c18c80f9']",2026-04-10,11
92746d00-0d26-4292-b7f0-7a950fcbde99,2,2,0,-1,[],Community 2,"['50048626-fc94-490e-8c1f-e7999c70cdd2'
 'd87115fb-4903-4877-94c0-1385d52d781b'
 '6cee2194-7135-4d7e-ae32-cf53cfea3e77'
 '11e11bde-b0b2-4ac4-9314-0759b0ea7a34'
 '17b66b3c-dc3f-4b78-b442-d9ef35cc8500'
 '1121fde4-f43c-4af2-b1bb-aba5c9f4e023'
 'fe9b4d60-5d11-485a-a37c-bc6b24f2e621'
 'ee546d28-ce75-4653-ad5e-7ff551fda1b6'
 '3748a24b-cbe5-4403-8346-f3ea562bf224'
 '6aaac4b3-0e48-4d50-96a9-dfabc36e1cc2'
 '698cc26f-e978-410a-bfd3-5ab4999965a3']","['0edbe3e6-cf53-4b43-9652-60011f19f47b'
 '242c4d37-b212-4c09-950a-9d33b6cbc1bc'
 '271292e8-0dc4-422c-ad64-454975686cfd'
 '3b4a155b-554c-4e20-aa04-b75761972c39'
 '51109e25-6514-4f1b-9313-95393e098337'
 '5142bdaf-dfab-43c8-a852-d6f812d21e25'
 'c40066e1-7252-4b20-b674-99ac4f8d5684'
 'c933acdf-c1af-4a9a-a3ca-e60745d4a44d'
 'dcb6c613-a308-4e33-8d8d-0b4f984b298a'
 'ded205a6-cb39-47d8-b0c7-815c6462f36f'
 'e09eb14b-b472-4975-bea5-11310ef29404'
 'e7846ff4-bc57-400d-ba83-14929c7964d1'
 'fd30e7b2-efbf-4129-9514-fe0d16a84f2a']","['099e48ab87d75239d388a1fb13a0dad87648f0371119f0a8cd5b482cd71f98698c7c4c4dabdd3543e5ca3d34fadd44bcac92212ff374398a40fac1eaf512127f'
 '43f03a51c7f9a85ee9802c15a12a9fcdf1c1b9df6602468789ae95e2702de7007d2005e427a79dc096ec026a400c0929edb0e22819e51c562c81a476cb158f0a'
 'a6767e76d4e5bc6ba7c835c723b3b5e7a5045170bfa2d1237f52eb0136f182088317c7b928288da1af9518dc10f8d005418399360ef1012911e9d07e28631e38'
 'c803e19690701925964c557173b383a13641796902a850be18adfa59926358f9c9d882b9c1f11056d3f5ae39a06a3063ba3aee9f5eb44d21fe5e53f64ffe32fa'
 'd39173a54ea8333401c6fc92b0a3d24d6c60b5d03c0352c9c996f419c9935c19c152374823ea381dddec2726266a2113d77facffeff2c7b69001481158285e85']",2026-04-10,11
f00c686b-067f-4f3f-8c3e-1ea68a95b40a,3,3,0,-1,[],Community 3,"['4509a175-b54d-454d-bdbf-657205d3518b'
 '913df194-14d2-4eb7-b2ed-b4c827ece7a2'
 '27e93df2-6e32-4a2b-8712-30d230c2550f'
 'ff820044-7dff-4099-a3d8-29dc1a2d70ca'
 '5bbfc782-535e-4135-9452-4b5551525bcf'
 '2438a5bf-151e-486f-9958-d776fa63acff'
 'cec8a176-516b-4ee5-9472-926ed5b5e86d'
 'c0a29142-3159-4331-8ed4-a07bfb0a3fa6'
 'e1b2b3ac-3c0c-4d1a-9f8a-3a6ebb3ed240'
 'cb12f6e0-aeae-45df-a62f-700369c24052'
 'ec0131e4-88e2-4e6d-b2a8-c4540f230227'
 'e17af1ac-81a9-4bca-a618-b4d1b25b9b83'
 '598d2455-ecc4-4af5-9c47-6e5a2009ad9d']","['0362c608-8bfa-40c0-bf45-ed30b75c80dd'
 '0b004de9-9cb6-4ad8-b92b-69348c5f1030'
 '1b6ce49c-5f79-4d54-bada-babbd02b7d54'
 '1ff7e999-cf0d-4ce7-894e-ff8774af9e7c'
 '363e48fe-fb8b-4797-992f-b3e307fda222'
 '3b774c5d-e20f-4e10-8db3-bee5b987a450'
 '6370ae1b-d492-4a74-8f13-8792358eaa01'
 '8fa97447-4c6f-4c59-87d7-84e100eeb9fe'
 '9d83f60b-133f-4ad3-a139-a5b70610ce44'
 'c9dd71e8-52b9-4962-8efe-ff2e4151da98'
 'f0c68f53-c054-4ac8-b01b-76d86fe96598'
 'f2892215-6935-435c-a730-344bff6c8455'
 'f3000762-ee48-4249-b341-880dd5116215']","['099e48ab87d75239d388a1fb13a0dad87648f0371119f0a8cd5b482cd71f98698c7c4c4dabdd3543e5ca3d34fadd44bcac92212ff374398a40fac1eaf512127f'
 '1368fc03d610d71f0a4ebe01b5cf8241f4e22c35a09baa58132436224f4cc44ccfc8538d6058eb4cdd3500e2063f8e87b0c54db161cfad7569fe611ec3c72fe9'
 'a6767e76d4e5bc6ba7c835c723b3b5e7a5045170bfa2d1237f52eb0136f182088317c7b928288da1af9518dc10f8d005418399360ef1012911e9d07e28631e38'
 'd39173a54ea8333401c6fc92b0a3d24d6c60b5d03c0352c9c996f419c9935c19c152374823ea381dddec2726266a2113d77facffeff2c7b69001481158285e85']",2026-04-10,13
73777761-5613-4668-957f-c3aeec81ae8f,4,4,0,-1,[],Community 4,"['8cf2f35b-dade-40a2-872a-accd21e23b23'
 'e2d1911f-593e-4ef0-8a8b-1487e89f4959'
 'ae92a909-1585-405e-bcc4-719499c2fc79'
 'e98b0932-fbd4-46f6-90db-b4397f44660b'
 '0ef18a52-b8f2-4a85-afd5-f1d7c3fda6a8'
 '7bc2b977-a5b6-4b9a-9dc2-35d916038301'
 '9b7b0d11-79d6-413e-b5dc-1c43a57ccaa0'
 '73ee6708-0954-49b8-9580-1104910fa134'
 'f11321ea-3074-4c85-996e-9716109b110d']","['0b256f77-0743-44d0-8c82-2240b07e1a15'
 '49f92e39-341c-4563-b14c-dc72f905600d'
 '79c4aab6-47d5-4a9d-a0d9-153f7d1440d5'
 '98c1654b-9483-4804-94f8-cf9904c9fdd7'
 'c8f17ad1-1b3e-4fdc-81bd-1a66fccde314'
 'd2d7e33d-0441-45f0-a08e-2772835061aa'
 'f10ccf5b-beb2-4d69-a4e9-e671447f291d'
 'f8b326b4-8543-4e97-b476-05b826944fc1']","['099e48ab87d75239d388a1fb13a0dad87648f0371119f0a8cd5b482cd71f98698c7c4c4dabdd3543e5ca3d34fadd44bcac92212ff374398a40fac1eaf512127f'
 '2db1deb8c006563858d52216b0234f6fc1a5f276e7a4050cd1c206a765975c9a9ed62d82b2bb5b34d535e9d6b8b1f95aa54e584ff8aa328ee1305e32fa7ec1db'
 '6080da6318db19acb1b01c7aa07287d2021f2deaee82707c9a061f6ebb463bc18786725b2733fee119626f91580bc12bfc1308beb8fcb3b87f9c9f260a2ea5d6'
 'f2707ebde367944271b5fe410e033346fa7aa07bf22370c525eab33d42918733bfabd2e502eb74d2d41768dce676b5ed489cdc17707c881ff5c32114a838f796']",2026-04-10,9
c749a26d-f363-428a-a46e-eef22d2d773e,5,5,0,-1,[],Community 5,"['6d1f2c64-9d2d-404c-b559-d8efb93166c4'
 'db9a126e-464b-4ad7-8ad1-c5869e2f7e04'
 '05590bae-59a4-4c64-ae5b-75d7e33a9a5f'
 '1225b1c6-ec70-48e0-aeef-2c10f569f610'
 '83f9f48c-c485-4e92-ba40-5714e2cb9b0b'
 '37bde34f-4c66-4593-ad2e-4627f442feeb'
 '7f4511c4-f345-4469-8bc3-7838d4cc7019'
 '43d54930-ce7c-427b-9042-9e5d57d15d78'
 'a9cd3e5a-d43a-4ec1-91ed-d1607b18e80e'
 'e8226ae6-9a57-41ae-a63f-2ab80415658a'
 '4f7031ab-5efb-43e6-94f7-894524f01f58']","['005f2157-992d-4796-9df5-e841eab8b850'
 '38793de4-dd16-48ae-9f5a-161b7ec7adfe'
 '4233352b-2fe7-4ca9-b35f-ecb5f635008f'
 '4a3739c0-686c-44b1-a6f7-789d4dbb80e1'
 '4c448f40-b94e-4615-82cf-d6c3ccc3bf34'
 '7fd5914e-e9b0-4a0b-99f6-97e576720456'
 '98be8c6f-39d5-4cd6-bb50-73f137e13c1f'
 'bb9b95c0-0f40-4873-add6-27f359f7ff4b'
 'bce5f555-b77f-4029-82c9-defad57cac10'
 'd133552d-b090-4ad9-86dd-492713f79184']","['1368fc03d610d71f0a4ebe01b5cf8241f4e22c35a09baa58132436224f4cc44ccfc8538d6058eb4cdd3500e2063f8e87b0c54db161cfad7569fe611ec3c72fe9'
 '163da55de5b7990e1b4c750d0714072dda9561088dd6766b5828a29b6248c428976c734c0732d1edafca48f6f343e313070209dd0e788e7e10148802707ef4b6'
 '4111f3a3f3948d16762a2ae57eb53a21de0d19d9465687f4f5c82b20ba894589c9fb520843b82c5ee9300d4cd57517c53980be4f7d8273ab0b39e77f0e1ce1a2'
 'd39173a54ea8333401c6fc92b0a3d24d6c60b5d03c0352c9c996f419c9935c19c152374823ea381dddec2726266a2113d77facffeff2c7b69001481158285e85']",2026-04-10,11
